States Affected,No. of Cases (Lab Confirmed),No. of Cases (on admission),No. Discharged,No. of Deaths
Lagos,"13,538","11,398","1,964",176
FCT,"3,129","2,188",902,39
Oyo,"2,193","1,057","1,116",20
Edo,"2,000",652,"1,280",68
Rivers,"1,535",483,"1,003",49
Delta,"1,428",759,630,39
Kano,"1,416",238,"1,125",53
Kaduna,"1,191",307,872,12
Ogun,"1,174",266,886,22
Ondo,925,760,143,22
Katsina,710,246,441,23
Plateau,700,370,312,18
Ebonyi,679,91,572,16
Enugu,677,300,360,17
Borno,602,54,513,35
Kwara,585,383,188,14
Gombe,558,25,510,23
Bauchi,531,12,506,13
Abia,526,132,391,3
Imo,452,360,83,9
Osun,351,242,99,10
Jigawa,322,3,308,11
Bayelsa,322,122,179,21
Benue,294,235,53,6
Nasarawa,281,160,113,8
Akwa Ibom,176,52,121,3
Niger,166,45,112,9
Sokoto,153,0,137,16
Anambra,132,53,67,12
Adamawa,115,21,85,9
Kebbi,89,8,74,7
Ekiti,86,37,47,2
Zamfara,77,1,71,5
Yobe,64,3,53,8
Taraba,30,19,11,0
Cross River,13,9,3,1
Kogi,5,0,3,2
